912,934,1104,0.3794415593,0.3341959715,0.2863624692,0.2500,912,934,1104,0.3794415593,0.3341959715,0.2863624692,0.5000,912,934,1104,0.3794415593,0.3341959715,0.2863624692,0.7500,882,381,1104,0.0625629127,0.4648311734,0.4726059139,0.8000,381,1155,1104,0.4322047234,0.3593982756,0.2083970457,0.8000
965,908,964,0.2834525108,0.1520475894,0.5644999146,0.2500,965,908,964,0.2834525108,0.1520475894,0.5644999146,0.5000,965,908,964,0.2834525108,0.1520475894,0.5644999146,0.7500,881,348,886,0.57353127,0.02794208378,0.3985266685,0.8000,881,348,886,0.2448698878,0.1700082421,0.58512187,0.8000
303,818,576,0.1143984795,0.2557460368,0.6298555136,0.2500,303,818,576,0.1143984795,0.2557460368,0.6298555136,0.5000,303,818,576,0.1143984795,0.2557460368,0.6298555136,0.7500,890,819,818,0.5266888142,0.3035641611,0.1697469652,0.8000,379,913,890,0.07623112202,0.3944712877,0.5292975903,0.8000
582,584,578,0.4827551246,0.4490364492,0.06820841134,0.2500,582,584,578,0.4827551246,0.4490364492,0.06820841134,0.5000,582,584,578,0.4827551246,0.4490364492,0.06820841134,0.7500,577,579,592,0.7277578115,0.1877763718,0.08446578681,0.8000,815,577,614,0.4021672904,0.4731092751,0.1247234717,0.8000
586,582,581,0.492190361,0.2666550577,0.2411545366,0.2500,586,582,581,0.492190361,0.2666550577,0.2411545366,0.5000,586,582,581,0.492190361,0.2666550577,0.2411545366,0.7500,581,579,524,0.6159892082,0.01097598299,0.3730348647,0.8000,581,579,524,0.1797323525,0.5142998695,0.305967778,0.8000
585,580,583,0.6204270124,0.06443268061,0.3151403368,0.2500,585,580,583,0.6204270124,0.06443268061,0.3151403368,0.5000,585,580,583,0.6204270124,0.06443268061,0.3151403368,0.7500,585,580,583,0.5311717987,0.248268947,0.2205592245,0.8000,585,581,580,0.2492783964,0.2722334862,0.4784881175,0.8000
651,648,627,0.6780316234,0.02861374058,0.2933546305,0.2500,651,648,627,0.6780316234,0.02861374058,0.2933546305,0.5000,651,648,627,0.6780316234,0.02861374058,0.2933546305,0.7500,648,651,585,0.4340927005,0.5644307137,0.001476578298,0.8000,648,585,583,0.4009761214,0.5776097775,0.0214141123,0.8000
655,589,590,0.1937690675,0.3168700039,0.4893609583,0.2500,655,589,590,0.1937690675,0.3168700039,0.4893609583,0.5000,655,589,590,0.1937690675,0.3168700039,0.4893609583,0.7500,655,627,589,0.2414782643,0.1210172698,0.6375044584,0.8000,651,627,655,0.02420380712,0.7517520785,0.2240441144,0.8000
704,746,748,0.1682793498,0.1209759414,0.710744679,0.8000,748,597,596,0.2525755167,0.3837339878,0.3636904955,0.7500,645,595,596,0.002082467079,0.1239400283,0.8739774823,0.7500,666,596,597,0.008888706565,0.8323505521,0.1587607414,0.7500,590,666,657,0.06478051096,0.8127993345,0.1224201545,0.8000
752,703,755,0.009962901473,0.9034667611,0.08657033741,0.8000,749,687,703,0.2819198966,0.7000667453,0.0180133488,0.8000,749,704,687,0.2236104012,0.4343693256,0.3420202732,0.7500,749,704,687,0.2236104012,0.4343693256,0.3420202732,0.5000,749,704,687,0.2236104012,0.4343693256,0.3420202732,0.2500
755,769,767,0.3712916672,0.3458449244,0.2828634083,0.8000,755,767,752,0.7834578156,0.02019426785,0.1963479072,0.8000,752,703,755,0.6834341884,0.2943041921,0.02226161398,0.7500,752,703,755,0.6834341884,0.2943041921,0.02226161398,0.5000,752,703,755,0.6834341884,0.2943041921,0.02226161398,0.2500
767,769,772,0.1561374068,0.04881626368,0.7950463295,0.8000,767,769,772,0.2745425403,0.4228785038,0.3025789559,0.8000,767,769,772,0.637062192,0.3084183931,0.05451940373,0.7500,767,769,772,0.637062192,0.3084183931,0.05451940373,0.5000,767,769,772,0.637062192,0.3084183931,0.05451940373,0.2500
771,772,526,0.3269617558,0.001392689417,0.6716455817,0.8000,771,772,526,0.4038029313,0.1820321083,0.4141649604,0.8000,766,771,770,0.4864292145,0.2513352633,0.2622355223,0.7500,766,771,770,0.4864292145,0.2513352633,0.2622355223,0.5000,766,771,770,0.4864292145,0.2513352633,0.2622355223,0.2500
678,526,692,0.7758557796,0.09179311991,0.1323510706,0.8000,678,737,526,0.6866509318,0.1435834616,0.1697656065,0.8000,770,736,768,0.4861159623,0.07539361715,0.4384904206,0.7500,770,736,768,0.4861159623,0.07539361715,0.4384904206,0.5000,770,736,768,0.4861159623,0.07539361715,0.4384904206,0.2500
982,817,850,0.4379613101,0.3802436888,0.1817950308,0.8000,982,821,817,0.4385247827,0.007423378527,0.5540518165,0.8000,308,677,821,0.09549748898,0.5867325664,0.3177699447,0.7500,308,677,821,0.09549748898,0.5867325664,0.3177699447,0.5000,308,677,821,0.09549748898,0.5867325664,0.3177699447,0.2500
987,1008,1009,0.815680027,0.007108418737,0.1772115976,0.8000,987,1008,1009,0.4562376738,0.02420840599,0.5195538998,0.8000,1009,1008,1029,0.2852388322,0.5592142344,0.1555469334,0.7500,1009,1008,1029,0.2852388322,0.5592142344,0.1555469334,0.5000,1009,1008,1029,0.2852388322,0.5592142344,0.1555469334,0.2500
986,1101,380,0.1801652908,0.1685940474,0.6512406468,0.8000,380,1101,1263,0.2512944341,0.6123919487,0.1363136172,0.8000,1028,1101,990,0.3825206757,0.2828999758,0.3345793486,0.7500,1028,1101,990,0.3825206757,0.2828999758,0.3345793486,0.5000,1028,1101,990,0.3825206757,0.2828999758,0.3345793486,0.2500
